"cf_id","contact_id","company_name","description","goal","pledged","outcome","backers_count","country","currency","launched_date","end_date","category_id","subcategory_id","contact_id-2","first_name","last_name","email","category_id-2","category","subcategory_id-2","subcategory"
1400,1728,"Huang-Henderson","Stand-alone mobile customer loyalty","$41,700.00","$138,497.00","successful",1539,"US","USD","2020-08-30","2021-08-04","cat5","subcat11",1728,"Tracy","Metz","tracy.metz@bryant.info","cat5","film & video","subcat11","animation"
657,5362,"Owens-Le","Focused composite approach","$7,900.00","$667.00","failed",17,"US","USD","2021-07-31","2021-12-01","cat4","subcat4",5362,"Birgit","Pena","birgit.pena@armellini.it","cat4","theater","subcat4","plays"
966,4840,"Huff LLC","Face-to-face clear-thinking Local Area Network","$121,500.00","$119,830.00","failed",2179,"US","USD","2021-04-10","2021-10-01","cat1","subcat1",4840,"Elvira","Papafava","elvira.papafava@ifrance.com","cat1","food","subcat1","food trucks"
1558,2955,"Johnson LLC","Cross-group cohesive circuit","$4,800.00","$6,623.00","successful",138,"US","USD","2020-12-18","2021-04-27","cat8","subcat15",2955,"Ernest","Delorme","ernest.delorme@dowerg.de","cat8","photography","subcat15","photography books"
1379,5354,"Chavez, Garcia and Cantu","Synergistic explicit capability","$87,300.00","$81,897.00","failed",931,"US","USD","2021-03-28","2021-08-25","cat4","subcat4",5354,"Christy","Grossi","christy.grossi@alarcon-tafoya.com","cat4","theater","subcat4","plays"
286,3847,"Lester-Moore","Diverse analyzing definition","$46,300.00","$186,885.00","successful",3594,"US","USD","2021-01-01","2021-05-30","cat5","subcat23",3847,"Hermelinda","Olmos","hermelinda.olmos@portillo.com","cat5","film & video","subcat23","science fiction"
894,3025,"Fox-Quinn","Enterprise-wide reciprocal success","$67,800.00","$176,398.00","successful",5880,"US","USD","2020-10-14","2021-02-28","cat2","subcat2",3025,"Herbert","Fraser","herbert.fraser@holloway.org.au","cat2","music","subcat2","rock"
709,1615,"Garcia Inc","Progressive neutral middleware","$3,000.00","$10,999.00","successful",112,"US","USD","2020-11-26","2021-02-08","cat8","subcat15",1615,"Giancarlo","Heydrich","giancarlo.heydrich@hotmail.com","cat8","photography","subcat15","photography books"
1599,5154,"Johnson-Lee","Intuitive exuding process improvement","$60,900.00","$102,751.00","successful",943,"US","USD","2020-08-07","2021-06-15","cat7","subcat21",5154,"Constance","Maldonado","constance.maldonado@spiess.net","cat7","games","subcat21","mobile games"
905,5005,"Pineda Group","Exclusive real-time protocol","$137,900.00","$165,352.00","successful",2468,"US","USD","2021-05-12","2021-10-18","cat5","subcat11",5005,"Giampiero","Carlier","giampiero.carlier@hotmail.com","cat5","film & video","subcat11","animation"
146,1349,"Hoffman-Howard","Extended encompassing application","$85,600.00","$165,798.00","successful",2551,"US","USD","2020-12-19","2021-03-10","cat7","subcat21",1349,"Carlo","Jacquot","carlo.jacquot@hotmail.com","cat7","games","subcat21","mobile games"
1632,3670,"Miranda, Hall and Mcgrath","Progressive value-added ability","$2,400.00","$10,084.00","successful",101,"US","USD","2021-01-25","2021-06-15","cat7","subcat12",3670,"Gabriel","Robles","gabriel.robles@yahoo.com","cat7","games","subcat12","video games"
537,2912,"Williams, Carter and Gonzalez","Cross-platform uniform hardware","$7,200.00","$5,523.00","canceled",67,"US","USD","2021-02-12","2021-09-13","cat4","subcat4",2912,"Gerd","Gunpf","gerd.gunpf@gmail.com","cat4","theater","subcat4","plays"
1289,4336,"Davis-Rodriguez","Progressive secondary portal","$3,400.00","$5,823.00","successful",92,"US","USD","2020-12-05","2021-11-09","cat4","subcat4",4336,"Ashley","Hellwig","ashley.hellwig@libero.it","cat4","theater","subcat4","plays"
2712,5576,"Reid, Rivera and Perry","Multi-lateral national adapter","$3,800.00","$6,000.00","successful",62,"US","USD","2021-10-15","2021-10-19","cat5","subcat11",5576,"Patrick","Rosas","patrick.rosas@yahoo.com","cat5","film & video","subcat11","animation"
1980,2736,"Mendoza-Parker","Enterprise-wide motivating matrices","$7,500.00","$8,181.00","successful",149,"IT","EUR","2020-06-16","2021-06-28","cat7","subcat12",2736,"Lilla","Leonard","lilla.leonard@jungfer.com","cat7","games","subcat12","video games"
296,3321,"Lee, Ali and Guzman","Polarized upward-trending Local Area Network","$8,600.00","$3,589.00","failed",92,"US","USD","2020-09-15","2021-02-23","cat5","subcat11",3321,"Tony","Nicolas","tony.nicolas@morrocco-seddio.net","cat5","film & video","subcat11","animation"
1760,3353,"Gallegos-Cobb","Object-based directional function","$39,500.00","$4,323.00","failed",57,"AU","AUD","2021-01-21","2021-12-01","cat2","subcat2",3353,"Allegra","Benedetti","allegra.benedetti@miller.com","cat2","music","subcat2","rock"
2435,2336,"Ellison PLC","Re-contextualized tangible open architecture","$9,300.00","$14,822.00","successful",329,"US","USD","2021-03-15","2021-11-14","cat5","subcat11",2336,"Camille","Tafuri","camille.tafuri@aol.de","cat5","film & video","subcat11","animation"
2343,4369,"Bolton, Sanchez and Carrillo","Distributed systemic adapter","$2,400.00","$10,138.00","successful",97,"DK","DKK","2020-06-11","2021-02-28","cat4","subcat4",4369,"Juan","Wheeler","juan.wheeler@gilmore.net","cat4","theater","subcat4","plays"
2556,4464,"Mason-Sanders","Networked web-enabled instruction set","$3,200.00","$3,127.00","failed",41,"US","USD","2021-04-12","2021-12-03","cat3","subcat9",4464,"Leopoldo","Johnson","leopoldo.johnson@hotmail.com.au","cat3","technology","subcat9","wearables"
2495,5626,"Pitts-Reed","Vision-oriented dynamic service-desk","$29,400.00","$123,124.00","successful",1784,"US","USD","2020-04-19","2021-02-20","cat4","subcat4",5626,"Dietmar","Grenier","dietmar.grenier@tele2.it","cat4","theater","subcat4","plays"
2497,1669,"Gonzalez-Martinez","Vision-oriented actuating open system","$168,500.00","$171,729.00","successful",1684,"AU","AUD","2021-01-17","2021-07-23","cat6","subcat10",1669,"Leonid","Scholl","leonid.scholl@collin.com","cat6","publishing","subcat10","nonfiction"
1955,5544,"Hill, Martin and Garcia","Sharable scalable core","$8,400.00","$10,729.00","successful",250,"US","USD","2020-08-22","2021-03-01","cat2","subcat2",5544,"Olivie","Contarini","olivie.contarini@marshall-wright.biz","cat2","music","subcat2","rock"
1129,6078,"Garcia PLC","Customer-focused attitude-oriented function","$2,300.00","$10,240.00","successful",238,"US","USD","2021-04-17","2021-08-28","cat4","subcat4",6078,"Jeffery","Lacroix","jeffery.lacroix@medina.org","cat4","theater","subcat4","plays"
636,2580,"Herring-Bailey","Reverse-engineered system-worthy extranet","$700.00","$3,988.00","successful",53,"US","USD","2021-05-02","2021-12-28","cat4","subcat4",2580,"Edeltraud","Chavez","edeltraud.chavez@hotmail.com.au","cat4","theater","subcat4","plays"
434,3592,"Russell-Gardner","Re-engineered systematic monitoring","$2,900.00","$14,771.00","successful",214,"US","USD","2020-09-16","2021-03-22","cat4","subcat4",3592,"Mesut","Morvan","mesut.morvan@gmail.com","cat4","theater","subcat4","plays"
1231,4914,"Walters-Carter","Seamless value-added standardization","$4,500.00","$14,649.00","successful",222,"US","USD","2020-11-20","2021-11-27","cat3","subcat3",4914,"Gregory","Jackson","gregory.jackson@ortiz.com","cat3","technology","subcat3","web"
3162,3848,"Johnson, Patterson and Montoya","Triple-buffered fresh-thinking frame","$19,800.00","$184,658.00","successful",1884,"US","USD","2020-09-20","2021-01-15","cat6","subcat14",3848,"Nicola","Rossi","nicola.rossi@berry.org","cat6","publishing","subcat14","fiction"
1717,2619,"Roberts and Sons","Streamlined holistic knowledgebase","$6,200.00","$13,103.00","successful",218,"AU","AUD","2020-11-03","2021-08-02","cat7","subcat21",2619,"Eddie","Collazo","eddie.collazo@gmail.com","cat7","games","subcat21","mobile games"
211,4605,"Avila-Nelson","Up-sized intermediate website","$61,500.00","$168,095.00","successful",6465,"US","USD","2020-03-25","2021-02-19","cat6","subcat19",4605,"Philippe","Gardner","philippe.gardner@howells-jones.net","cat6","publishing","subcat19","translations"
2635,6147,"Robbins and Sons","Future-proofed directional synergy","$100.00","$3.00","failed",1,"US","USD","2020-09-16","2021-02-27","cat2","subcat2",6147,"Roy","Fox","roy.fox@tejeda.com","cat2","music","subcat2","rock"
1854,1383,"Singleton Ltd","Enhanced user-facing function","$7,100.00","$3,840.00","failed",101,"US","USD","2020-08-01","2021-07-30","cat4","subcat4",1383,"Heiderose","Garcia","heiderose.garcia@noos.fr","cat4","theater","subcat4","plays"
436,1757,"Perez PLC","Operative bandwidth-monitored interface","$1,000.00","$6,263.00","successful",59,"US","USD","2020-11-25","2021-08-28","cat4","subcat4",1757,"Claudine","Rowley","claudine.rowley@industrias.com","cat4","theater","subcat4","plays"
2965,4390,"Rogers, Jacobs and Jackson","Upgradable multi-state instruction set","$121,500.00","$108,161.00","failed",1335,"CA","CAD","2020-09-03","2021-02-24","cat5","subcat7",4390,"Astrid","Roht","astrid.roht@fastwebnet.it","cat5","film & video","subcat7","drama"
1034,4165,"Barry Group","De-engineered static Local Area Network","$4,600.00","$8,505.00","successful",88,"US","USD","2021-06-24","2021-08-28","cat6","subcat10",4165,"Auguste","Burnett","auguste.burnett@yahoo.fr","cat6","publishing","subcat10","nonfiction"
614,4529,"Rosales, Branch and Harmon","Upgradable grid-enabled superstructure","$80,500.00","$96,735.00","successful",1697,"US","USD","2020-11-03","2021-09-27","cat2","subcat2",4529,"Pellegrino","Allen","pellegrino.allen@gmail.com","cat2","music","subcat2","rock"
1792,6084,"Smith-Reid","Optimized actuating toolset","$4,100.00","$959.00","failed",15,"GB","GBP","2020-11-03","2021-10-17","cat2","subcat2",6084,"Angela","Bowers","angela.bowers@laboratorios.com","cat2","music","subcat2","rock"
121,2916,"Williams Inc","Decentralized exuding strategy","$5,700.00","$8,322.00","successful",92,"US","USD","2020-05-03","2021-05-08","cat4","subcat4",2916,"Michael","Descamps","michael.descamps@gmail.com","cat4","theater","subcat4","plays"
2936,2005,"Duncan, Mcdonald and Miller","Assimilated coherent hardware","$5,000.00","$13,424.00","successful",186,"US","USD","2020-11-14","2021-10-24","cat4","subcat4",2005,"Heidelore","Kennedy","heidelore.kennedy@guinizzelli.org","cat4","theater","subcat4","plays"
2081,2261,"Watkins Ltd","Multi-channeled responsive implementation","$1,800.00","$10,755.00","successful",138,"US","USD","2021-04-07","2021-06-30","cat8","subcat15",2261,"Lucrezia","Koch","lucrezia.koch@petit.com","cat8","photography","subcat15","photography books"
1204,5342,"Allen-Jones","Centralized modular initiative","$6,300.00","$9,935.00","successful",261,"US","USD","2021-07-15","2021-10-12","cat2","subcat2",5342,"Ivan","Accardo","ivan.accardo@web.de","cat2","music","subcat2","rock"
669,4087,"Mason-Smith","Reverse-engineered cohesive migration","$84,300.00","$26,303.00","failed",454,"US","USD","2021-08-04","2021-09-13","cat2","subcat2",4087,"Karen","Avogadro","karen.avogadro@yahoo.com","cat2","music","subcat2","rock"
735,2761,"Lloyd, Kennedy and Davis","Compatible multimedia hub","$1,700.00","$5,328.00","successful",107,"US","USD","2021-02-27","2021-10-02","cat2","subcat8",2761,"Laetitia","Gallet","laetitia.gallet@aubry.org","cat2","music","subcat8","indie rock"
933,2908,"Walker Ltd","Organic eco-centric success","$2,900.00","$10,756.00","successful",199,"US","USD","2020-10-26","2021-05-06","cat8","subcat15",2908,"Amico","Gosselin","amico.gosselin@shaw.info","cat8","photography","subcat15","photography books"
3055,2155,"Gordon PLC","Virtual reciprocal policy","$45,600.00","$165,375.00","successful",5512,"US","USD","2021-08-29","2021-10-30","cat4","subcat4",2155,"Ilaria","Bowen","ilaria.bowen@hotmail.it","cat4","theater","subcat4","plays"
270,5642,"Lee and Sons","Persevering interactive emulation","$4,900.00","$6,031.00","successful",86,"US","USD","2020-05-15","2021-03-10","cat4","subcat4",5642,"Marlen","Coardi","marlen.coardi@colletti.eu","cat4","theater","subcat4","plays"
647,6217,"Cole LLC","Proactive responsive emulation","$111,900.00","$85,902.00","failed",3182,"IT","EUR","2021-08-07","2022-01-13","cat2","subcat18",6217,"Rafael","Alexander","rafael.alexander@jenkins.com","cat2","music","subcat18","jazz"
1219,4222,"Acosta PLC","Extended eco-centric function","$61,600.00","$143,910.00","successful",2768,"AU","AUD","2021-05-08","2021-09-24","cat4","subcat4",4222,"Herma","Gabbana","herma.gabbana@hotmail.com","cat4","theater","subcat4","plays"
1257,4798,"Brown-Mckee","Networked optimal productivity","$1,500.00","$2,708.00","successful",48,"US","USD","2021-03-23","2022-01-10","cat5","subcat5",4798,"Zachary","Vespucci","zachary.vespucci@industrias.com","cat5","film & video","subcat5","documentary"
2162,5660,"Miles and Sons","Persistent attitude-oriented approach","$3,500.00","$8,842.00","successful",87,"US","USD","2021-06-11","2021-06-24","cat5","subcat20",5660,"Marisol","Richard","marisol.richard@gmail.com","cat5","film & video","subcat20","television"
2274,5000,"Sawyer, Horton and Williams","Triple-buffered 4thgeneration toolset","$173,900.00","$47,260.00","canceled",1890,"US","USD","2021-10-07","2021-10-13","cat7","subcat12",5000,"Joseph","Glover","joseph.glover@laposte.net","cat7","games","subcat12","video games"
2284,2809,"Foley-Cox","Progressive zero administration leverage","$153,700.00","$1,953.00","live",61,"US","USD","2021-07-09","2022-01-13","cat8","subcat15",2809,"Lauretta","Neal","lauretta.neal@hotmail.de","cat8","photography","subcat15","photography books"
407,3349,"Horton, Morrison and Clark","Networked radical neural-net","$51,100.00","$155,349.00","successful",1894,"US","USD","2021-06-18","2021-10-25","cat4","subcat4",3349,"Simone","Sauvage","simone.sauvage@yahoo.com","cat4","theater","subcat4","plays"
2440,3647,"Thomas and Sons","Re-engineered heuristic forecast","$7,800.00","$10,704.00","successful",282,"CA","CAD","2020-11-04","2021-07-15","cat4","subcat4",3647,"Ramona","Brooks","ramona.brooks@kensy.de","cat4","theater","subcat4","plays"
2476,5745,"Morgan-Jenkins","Fully-configurable background algorithm","$2,400.00","$773.00","failed",15,"US","USD","2021-09-13","2021-12-03","cat4","subcat4",5745,"Gioele","Schwital","gioele.schwital@moody.com","cat4","theater","subcat4","plays"
41,2583,"Ward, Sanchez and Kemp","Stand-alone discrete Graphical User Interface","$3,900.00","$9,419.00","successful",116,"US","USD","2021-06-02","2021-12-31","cat6","subcat19",2583,"Elena","Jimenez","elena.jimenez@yahoo.com.au","cat6","publishing","subcat19","translations"
890,5441,"Fields Ltd","Front-line foreground project","$5,500.00","$5,324.00","failed",133,"US","USD","2021-05-23","2021-06-21","cat7","subcat12",5441,"Pam","Vargas","pam.vargas@guillot.net","cat7","games","subcat12","video games"
2743,2090,"Ramos-Mitchell","Persevering system-worthy info-mediaries","$700.00","$7,465.00","successful",83,"US","USD","2020-12-14","2021-04-24","cat4","subcat4",2090,"Alison","Morales","alison.morales@lewis.com","cat4","theater","subcat4","plays"
266,3386,"Higgins, Davis and Salazar","Distributed multi-tasking strategy","$2,700.00","$8,799.00","successful",91,"US","USD","2021-03-28","2021-08-23","cat3","subcat3",3386,"Marc","Aumann","marc.aumann@holland.com","cat3","technology","subcat3","web"
3113,1816,"Smith-Jenkins","Vision-oriented methodical application","$8,000.00","$13,656.00","successful",546,"US","USD","2020-10-02","2021-07-25","cat4","subcat4",1816,"Carla","Butler","carla.butler@yahoo.com","cat4","theater","subcat4","plays"
1909,4718,"Braun PLC","Function-based high-level infrastructure","$2,500.00","$14,536.00","successful",393,"US","USD","2021-07-06","2021-11-05","cat5","subcat11",4718,"Dionigi","Bruce","dionigi.bruce@industrias.com","cat5","film & video","subcat11","animation"
962,1677,"Drake PLC","Profound object-oriented paradigm","$164,500.00","$150,552.00","failed",2062,"US","USD","2020-02-25","2021-04-06","cat4","subcat4",1677,"Frank","Henry","frank.henry@yahoo.com","cat4","theater","subcat4","plays"
213,4218,"Ross, Kelly and Brown","Virtual contextually-based circuit","$8,400.00","$9,076.00","successful",133,"US","USD","2021-07-20","2021-08-18","cat5","subcat20",4218,"Brent","Pons","brent.pons@proyectos.net","cat5","film & video","subcat20","television"
2741,4548,"Lucas-Mullins","Business-focused dynamic instruction set","$8,100.00","$1,517.00","failed",29,"DK","DKK","2020-05-27","2021-03-20","cat2","subcat2",4548,"Patricia","Liebelt","patricia.liebelt@baca.org","cat2","music","subcat2","rock"
2589,1431,"Tran LLC","Ameliorated fresh-thinking protocol","$9,800.00","$8,153.00","failed",132,"US","USD","2021-02-20","2021-04-10","cat3","subcat3",1431,"Micheletto","Sykes","micheletto.sykes@thompson-thompson.com","cat3","technology","subcat3","web"
1238,2830,"Dawson, Brady and Gilbert","Front-line optimizing emulation","$900.00","$6,357.00","successful",254,"US","USD","2020-08-19","2021-01-25","cat4","subcat4",2830,"Rose","Blanc","rose.blanc@grupo.com","cat4","theater","subcat4","plays"
164,4400,"Obrien-Aguirre","Devolved uniform complexity","$112,100.00","$19,557.00","canceled",184,"US","USD","2021-02-15","2021-11-12","cat4","subcat4",4400,"Vincent","Singh","vincent.singh@gmail.com","cat4","theater","subcat4","plays"
2685,5773,"Ferguson PLC","Public-key intangible superstructure","$6,300.00","$13,213.00","successful",176,"US","USD","2020-10-03","2021-02-19","cat2","subcat6",5773,"Jamie","Peacock","jamie.peacock@interiano-nordio.com","cat2","music","subcat6","electric music"
2836,4161,"Garcia Ltd","Secured global success","$5,600.00","$5,476.00","failed",137,"DK","DKK","2020-12-13","2021-04-14","cat2","subcat17",4161,"Giorgia","Dijoux","giorgia.dijoux@paul.com","cat2","music","subcat17","metal"
2062,2062,"Smith, Love and Smith","Grass-roots mission-critical capability","$800.00","$13,474.00","successful",337,"CA","CAD","2021-03-11","2021-08-18","cat4","subcat4",2062,"Serena","Piacentini","serena.piacentini@yahoo.de","cat4","theater","subcat4","plays"
3111,3458,"Wilson, Hall and Osborne","Advanced global data-warehouse","$168,600.00","$91,722.00","failed",908,"US","USD","2020-11-18","2021-08-16","cat5","subcat5",3458,"Dimitri","Posada","dimitri.posada@gmail.com","cat5","film & video","subcat5","documentary"
1414,3174,"Bell, Grimes and Kerr","Self-enabling uniform complexity","$1,800.00","$8,219.00","successful",107,"US","USD","2021-03-05","2022-02-20","cat3","subcat3",3174,"Alexa","Barillaro","alexa.barillaro@ramos.net","cat3","technology","subcat3","web"
2765,5565,"Ho-Harris","Versatile cohesive encoding","$7,300.00","$717.00","failed",10,"US","USD","2020-12-01","2021-09-28","cat1","subcat1",5565,"Megan","Kuhl","megan.kuhl@despacho.com","cat1","food","subcat1","food trucks"
939,1906,"Ross Group","Organized executive solution","$6,500.00","$1,065.00","canceled",32,"IT","EUR","2021-02-02","2021-03-26","cat4","subcat4",1906,"Kaitlyn","Farinelli","kaitlyn.farinelli@outlook.com","cat4","theater","subcat4","plays"
390,5479,"Turner-Davis","Automated local emulation","$600.00","$8,038.00","successful",183,"US","USD","2021-02-17","2021-06-09","cat4","subcat4",5479,"Jonathan","Castellitto","jonathan.castellitto@libero.it","cat4","theater","subcat4","plays"
2851,4320,"Smith, Jackson and Herrera","Enterprise-wide intermediate middleware","$192,900.00","$68,769.00","failed",1910,"CH","CHF","2021-02-07","2021-10-24","cat4","subcat4",4320,"Lisa","Terragni","lisa.terragni@proyectos.com","cat4","theater","subcat4","plays"
1607,4213,"Smith-Hess","Grass-roots real-time Local Area Network","$6,100.00","$3,352.00","failed",38,"AU","AUD","2020-04-28","2021-03-10","cat4","subcat4",4213,"Olivier","Petrucelli","olivier.petrucelli@letta-raurica.eu","cat4","theater","subcat4","plays"
3201,3373,"Brown, Herring and Bass","Organized client-driven capacity","$7,200.00","$6,785.00","failed",104,"AU","AUD","2020-11-26","2021-03-11","cat4","subcat4",3373,"Jos","Trobbiani","jos.trobbiani@samson.com","cat4","theater","subcat4","plays"
641,4184,"Chase, Garcia and Johnson","Adaptive intangible database","$3,500.00","$5,037.00","successful",72,"US","USD","2021-05-20","2021-06-21","cat2","subcat2",4184,"Mirjam","Dawson","mirjam.dawson@yahoo.com","cat2","music","subcat2","rock"
524,5472,"Ramsey and Sons","Grass-roots contextually-based algorithm","$3,800.00","$1,954.00","failed",49,"US","USD","2021-11-23","2022-02-05","cat1","subcat1",5472,"Javier","Tessier","javier.tessier@mclaughlin.biz","cat1","food","subcat1","food trucks"
2423,5559,"Cooke PLC","Focused executive core","$100.00","$5.00","failed",1,"DK","DKK","2020-12-05","2021-09-25","cat6","subcat10",5559,"Mirjana","Collins","mirjana.collins@hotmail.com","cat6","publishing","subcat10","nonfiction"
1532,5419,"Wong-Walker","Multi-channeled disintermediate policy","$900.00","$12,102.00","successful",295,"US","USD","2021-06-08","2021-09-04","cat5","subcat5",5419,"Vanessa","Tschentscher","vanessa.tschentscher@mitchell.com","cat5","film & video","subcat5","documentary"
1748,4171,"Ferguson, Collins and Mata","Customizable bi-directional hardware","$76,100.00","$24,234.00","failed",245,"US","USD","2020-06-07","2021-05-24","cat4","subcat4",4171,"Antonina","Cobb","antonina.cobb@gibson.org","cat4","theater","subcat4","plays"
3168,1302,"Guerrero, Flores and Jenkins","Networked optimal architecture","$3,400.00","$2,809.00","failed",32,"US","USD","2021-01-12","2021-12-22","cat2","subcat8",1302,"Bernard","Durand","bernard.durand@royer.com","cat2","music","subcat8","indie rock"
1077,3520,"Peterson PLC","User-friendly discrete benchmark","$2,100.00","$11,469.00","successful",142,"US","USD","2021-02-03","2021-04-10","cat5","subcat5",3520,"Corey","Greggio","corey.greggio@johnson.org.au","cat5","film & video","subcat5","documentary"
3114,6010,"Townsend Ltd","Grass-roots actuating policy","$2,800.00","$8,014.00","successful",85,"US","USD","2021-01-27","2021-05-15","cat4","subcat4",6010,"Rodolfo","Couturier","rodolfo.couturier@tim.it","cat4","theater","subcat4","plays"
2547,4617,"Rush, Reed and Hall","Enterprise-wide 3rdgeneration knowledge user","$6,500.00","$514.00","failed",7,"US","USD","2021-08-12","2021-11-18","cat4","subcat4",4617,"Pierre","Cardenas","pierre.cardenas@luzi-bonomo.eu","cat4","theater","subcat4","plays"
2065,1417,"Salazar-Dodson","Face-to-face zero tolerance moderator","$32,900.00","$43,473.00","successful",659,"DK","DKK","2021-03-20","2021-09-25","cat6","subcat14",1417,"Romeo","Surian","romeo.surian@batista.com","cat6","publishing","subcat14","fiction"
1143,4770,"Davis Ltd","Grass-roots optimizing projection","$118,200.00","$87,560.00","failed",803,"US","USD","2021-07-17","2021-11-18","cat4","subcat4",4770,"Ivo","Moreno","ivo.moreno@hotmail.com","cat4","theater","subcat4","plays"
2545,4328,"Harris-Perry","User-centric 6thgeneration attitude","$4,100.00","$3,087.00","canceled",75,"US","USD","2021-03-05","2021-07-26","cat2","subcat8",4328,"Federico","Marie","federico.marie@jourdan.fr","cat2","music","subcat8","indie rock"
1315,5171,"Velazquez, Hunt and Ortiz","Switchable zero tolerance website","$7,800.00","$1,586.00","failed",16,"US","USD","2021-03-28","2021-04-23","cat7","subcat12",5171,"Maggie","Boito","maggie.boito@yahoo.com","cat7","games","subcat12","video games"
2219,4394,"Flores PLC","Focused real-time help-desk","$6,300.00","$12,812.00","successful",121,"US","USD","2020-12-09","2021-05-09","cat4","subcat4",4394,"Brianna","Hanson","brianna.hanson@stanley.com","cat4","theater","subcat4","plays"
854,1794,"Martinez LLC","Robust impactful approach","$59,100.00","$183,345.00","successful",3742,"US","USD","2020-12-31","2022-02-06","cat4","subcat4",1794,"Heiko","Bourgeois","heiko.bourgeois@togliatti.com","cat4","theater","subcat4","plays"
336,3510,"Miller-Irwin","Secured maximized policy","$2,200.00","$8,697.00","successful",223,"US","USD","2021-11-26","2021-12-02","cat2","subcat2",3510,"Benito","Gritti","benito.gritti@gmail.com","cat2","music","subcat2","rock"
3014,2487,"Sanchez-Morgan","Realigned upward-trending strategy","$1,400.00","$4,126.00","successful",133,"US","USD","2020-06-04","2021-04-11","cat5","subcat5",2487,"Mitzy","Junk","mitzy.junk@zaragoza.com","cat5","film & video","subcat5","documentary"
326,2215,"Lopez, Adams and Johnson","Open-source interactive knowledge user","$9,500.00","$3,220.00","failed",31,"US","USD","2021-07-10","2021-08-03","cat4","subcat4",2215,"Samantha","Lowe","samantha.lowe@praga.it","cat4","theater","subcat4","plays"
2991,4136,"Martin-Marshall","Configurable demand-driven matrix","$9,600.00","$6,401.00","failed",108,"IT","EUR","2020-12-19","2021-10-06","cat1","subcat1",4136,"Ernesto","Nerger","ernesto.nerger@middleton.co.uk","cat1","food","subcat1","food trucks"
1359,3723,"Summers PLC","Cross-group coherent hierarchy","$6,600.00","$1,269.00","failed",30,"US","USD","2020-07-31","2021-03-22","cat4","subcat4",3723,"Melinda","Canova","melinda.canova@orange.fr","cat4","theater","subcat4","plays"
341,5842,"Young, Hart and Ryan","Decentralized demand-driven open system","$5,700.00","$903.00","failed",17,"US","USD","2021-07-29","2021-09-25","cat2","subcat2",5842,"Mohammad","Hartung","mohammad.hartung@hotmail.com","cat2","music","subcat2","rock"
2365,3289,"Mills Group","Advanced empowering matrix","$8,400.00","$3,251.00","canceled",64,"US","USD","2020-03-24","2021-02-22","cat3","subcat3",3289,"Ben","Maillot","ben.maillot@ramos.net","cat3","technology","subcat3","web"
358,1249,"Sandoval-Powell","Phased holistic implementation","$84,400.00","$8,092.00","failed",80,"US","USD","2021-05-09","2021-08-03","cat6","subcat14",1249,"Isabel","Pruschke","isabel.pruschke@gmail.com","cat6","publishing","subcat14","fiction"
583,5409,"Mills, Frazier and Perez","Proactive attitude-oriented knowledge user","$170,400.00","$160,422.00","failed",2468,"US","USD","2021-05-30","2021-09-09","cat5","subcat13",5409,"Linda","Franceschi","linda.franceschi@richards.net","cat5","film & video","subcat13","shorts"
1373,2951,"Hebert Group","Visionary asymmetric Graphical User Interface","$117,900.00","$196,377.00","successful",5168,"US","USD","2021-03-18","2021-03-22","cat4","subcat4",2951,"Olivia","Striebitz","olivia.striebitz@gmail.com","cat4","theater","subcat4","plays"
2665,3432,"Cole, Smith and Wood","Integrated zero-defect help-desk","$8,900.00","$2,148.00","failed",26,"GB","GBP","2021-05-03","2022-01-25","cat5","subcat5",3432,"Penny","Watson","penny.watson@matthews.net","cat5","film & video","subcat5","documentary"
2500,2297,"Harris, Hall and Harris","Inverse analyzing matrices","$7,100.00","$11,648.00","successful",307,"US","USD","2021-04-18","2021-08-28","cat4","subcat4",2297,"Manfred","James","manfred.james@davies.org","cat4","theater","subcat4","plays"
921,6161,"Saunders Group","Programmable systemic implementation","$6,500.00","$5,897.00","failed",73,"US","USD","2020-05-31","2021-01-31","cat4","subcat4",6161,"Hazel","Pierce","hazel.pierce@outlook.com","cat4","theater","subcat4","plays"
135,4603,"Pham, Avila and Nash","Multi-channeled next generation architecture","$7,200.00","$3,326.00","failed",128,"US","USD","2020-05-27","2021-04-14","cat5","subcat11",4603,"Alf","Bates","alf.bates@dunn.com","cat5","film & video","subcat11","animation"
2413,5818,"Patterson, Salinas and Lucas","Digitized 3rdgeneration encoding","$2,600.00","$1,002.00","failed",33,"US","USD","2020-04-10","2021-04-15","cat4","subcat4",5818,"Scott","Gough","scott.gough@industrias.com","cat4","theater","subcat4","plays"
3004,4270,"Young PLC","Innovative well-modulated functionalities","$98,700.00","$131,826.00","successful",2441,"US","USD","2020-09-01","2021-05-03","cat2","subcat2",4270,"Konrad","Briones","konrad.briones@fierro.com","cat2","music","subcat2","rock"
1911,6007,"Willis and Sons","Fundamental incremental database","$93,800.00","$21,477.00","live",211,"US","USD","2021-04-06","2021-06-16","cat7","subcat12",6007,"Mathilde","Kruschwitz","mathilde.kruschwitz@yahoo.com","cat7","games","subcat12","video games"
2726,4084,"Thompson-Bates","Expanded encompassing open architecture","$33,700.00","$62,330.00","successful",1385,"GB","GBP","2021-01-05","2021-04-18","cat5","subcat5",4084,"Irma","Gemito","irma.gemito@googlemail.com","cat5","film & video","subcat5","documentary"
